# Time, p, Ux, Uy, Uz, e
1.468499999999999916e-05 8.336915000000000376e-07 1.110231000000000063e-07 9.701366999999999369e-05 6.494698000000000205e-06 2.157107999999999863e-06
1.486289999999999961e-05 8.326696999999999748e-07 1.108407000000000033e-07 9.770516999999999885e-05 6.460603999999999715e-06 2.224090000000000164e-06
1.504039999999999918e-05 8.313951000000000065e-07 1.106811000000000024e-07 9.852730999999999501e-05 6.430527000000000206e-06 2.289209999999999890e-06
1.521749999999999957e-05 8.306427999999999713e-07 1.109004000000000022e-07 9.890556000000000109e-05 6.406200999999999992e-06 2.366404000000000019e-06
1.539439999999999952e-05 8.294908000000000415e-07 1.106094000000000031e-07 9.934076000000000668e-05 6.382843000000000240e-06 2.437012000000000038e-06
1.557100000000000050e-05 8.286285999999999797e-07 1.109088000000000064e-07 9.946897000000000388e-05 6.364144000000000134e-06 2.522009000000000200e-06
1.574740000000000105e-05 8.276936000000000047e-07 1.104993000000000053e-07 9.983813999999999818e-05 6.346910000000000020e-06 2.599802000000000134e-06
1.592350000000000094e-05 8.269464999999999861e-07 1.108191000000000000e-07 9.994985000000000664e-05 6.334660000000000265e-06 2.689742999999999973e-06
1.609950000000000061e-05 8.259754000000000311e-07 1.102251000000000015e-07 1.003452999999999962e-04 6.322197000000000347e-06 2.771996000000000200e-06
1.627529999999999984e-05 8.256074000000000373e-07 1.106048000000000058e-07 1.006957999999999990e-04 6.313057999999999857e-06 2.867877999999999920e-06
1.645089999999999864e-05 8.252917000000000261e-07 1.098445999999999935e-07 1.012381000000000023e-04 6.301270999999999965e-06 2.957054999999999846e-06
1.662630000000000038e-05 8.254677999999999531e-07 1.101579999999999995e-07 1.014237999999999961e-04 6.291870999999999682e-06 3.061390999999999994e-06
1.680159999999999851e-05 8.264720000000000171e-07 1.094147000000000010e-07 1.018079000000000049e-04 6.280823999999999888e-06 3.158232999999999955e-06
1.697669999999999960e-05 8.276718999999999563e-07 1.092977000000000007e-07 1.019028000000000029e-04 6.271643999999999749e-06 3.254648000000000200e-06
1.715160000000000024e-05 8.289571999999999870e-07 1.089066999999999941e-07 1.021661000000000043e-04 6.262500999999999996e-06 3.355200999999999896e-06
1.732640000000000067e-05 8.305643999999999672e-07 1.085202999999999980e-07 1.023058000000000057e-04 6.253422000000000315e-06 3.446446999999999971e-06
1.750110000000000088e-05 8.322211999999999824e-07 1.082291999999999935e-07 1.029288999999999964e-04 6.245867000000000351e-06 3.542617999999999833e-06
1.767570000000000087e-05 8.335464999999999525e-07 1.076998999999999995e-07 1.033093999999999972e-04 6.239838999999999974e-06 3.624413000000000123e-06
1.785030000000000086e-05 8.340959999999999801e-07 1.074319000000000000e-07 1.038709999999999953e-04 6.238333000000000331e-06 3.707553999999999875e-06
1.802470000000000041e-05 8.337384000000000193e-07 1.067873000000000049e-07 1.042382999999999944e-04 6.237792999999999825e-06 3.775001999999999911e-06
1.819909999999999996e-05 8.326067000000000357e-07 1.065420000000000020e-07 1.048380999999999949e-04 6.241375000000000022e-06 3.840760999999999699e-06
1.837339999999999929e-05 8.307323000000000067e-07 1.058318999999999989e-07 1.048218000000000066e-04 6.245453999999999750e-06 3.892199000000000375e-06
1.854759999999999840e-05 8.282694999999999775e-07 1.055914000000000041e-07 1.049851000000000056e-04 6.253174999999999638e-06 3.940786999999999883e-06
1.872180000000000090e-05 8.255304000000000294e-07 1.049102999999999941e-07 1.049612999999999940e-04 6.260981999999999782e-06 3.976894000000000247e-06
1.889589999999999979e-05 8.222997000000000215e-07 1.049117999999999958e-07 1.053826999999999965e-04 6.272988999999999818e-06 4.007274000000000285e-06
1.906989999999999846e-05 8.185961000000000253e-07 1.043473999999999964e-07 1.054775000000000011e-04 6.284743999999999674e-06 4.025930000000000264e-06
1.924380000000000030e-05 8.146552999999999614e-07 1.043649000000000030e-07 1.060556999999999949e-04 6.300674999999999607e-06 4.041451000000000314e-06
1.941769999999999876e-05 8.112119000000000326e-07 1.037479000000000048e-07 1.065973999999999969e-04 6.315905999999999699e-06 4.055386999999999599e-06
1.959160000000000060e-05 8.085635000000000259e-07 1.038257999999999952e-07 1.073162000000000009e-04 6.334819000000000207e-06 4.065737999999999663e-06
1.976539999999999883e-05 8.060109999999999771e-07 1.032332000000000062e-07 1.077083999999999935e-04 6.352894000000000030e-06 4.069386000000000411e-06
1.993910000000000024e-05 8.043128000000000261e-07 1.033577000000000018e-07 1.085251000000000022e-04 6.375189999999999689e-06 4.070050000000000105e-06
2.011289999999999847e-05 8.020425999999999559e-07 1.028741999999999962e-07 1.092439000000000062e-04 6.396153999999999849e-06 4.060033999999999760e-06
2.028649999999999966e-05 7.991191000000000422e-07 1.029248000000000059e-07 1.104746999999999945e-04 6.418815999999999870e-06 4.044732999999999853e-06
2.046020000000000106e-05 7.956147999999999571e-07 1.025133000000000025e-07 1.116763000000000000e-04 6.439655999999999996e-06 4.020909000000000367e-06
2.063379999999999885e-05 7.916330000000000319e-07 1.025549000000000020e-07 1.134842999999999936e-04 6.460473999999999938e-06 3.993218000000000228e-06
2.080740000000000004e-05 7.870476999999999650e-07 1.021144000000000055e-07 1.152276999999999945e-04 6.480401000000000061e-06 3.958871000000000166e-06
2.098090000000000100e-05 7.822099000000000221e-07 1.021621000000000040e-07 1.175158000000000040e-04 6.502219999999999894e-06 3.923885999999999856e-06
2.115439999999999858e-05 7.776405000000000341e-07 1.017793999999999962e-07 1.197761000000000068e-04 6.522920999999999783e-06 3.886479000000000030e-06
2.132779999999999932e-05 7.734717000000000293e-07 1.017592999999999946e-07 1.224544000000000045e-04 6.544142999999999865e-06 3.850179000000000055e-06
2.150120000000000007e-05 7.692266999999999539e-07 1.013258999999999981e-07 1.251083999999999963e-04 6.564928000000000378e-06 3.809403000000000194e-06
2.167460000000000082e-05 7.649816000000000451e-07 1.012291000000000048e-07 1.286093000000000089e-04 6.587017999999999857e-06 3.768221000000000136e-06
2.184790000000000134e-05 7.603323000000000115e-07 1.007555000000000051e-07 1.323775999999999978e-04 6.609385999999999809e-06 3.720273000000000083e-06
